"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Yang W.J.; Zhang T.T.; Li C.; Li S.M.; Xu X.H.","Yang, W.J. (55501153900); Zhang, T.T. (57189221305); Li, C. (57191572773); Li, S.M. (57209275182); Xu, X.H. (36653467400)","55501153900; 57189221305; 57191572773; 57209275182; 36653467400","Numerical simulation of pitching sloshing under microgravity","2019","Journal of Applied Fluid Mechanics","12","5","","1527","1537","10","5","10.29252/JAFM.12.05.29677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071458959&doi=10.29252%2fJAFM.12.05.29677&partnerID=40&md5=2e5710de4f55b9f29f339deb5776a453","Liquid sloshing; Microgravity; Pitching; Three-dimensional simulation; VOF method","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071458959"
"Bellur K.; Médici E.F.; Kulshreshtha M.; Konduru V.; Tyrewala D.; Tamilarasan A.; McQuillen J.; Leão J.B.; Hussey D.S.; Jacobson D.L.; Scherschligt J.; Hermanson J.C.; Choi C.K.; Allen J.S.","Bellur, K. (56968004400); Médici, E.F. (24332561700); Kulshreshtha, M. (56968001800); Konduru, V. (56009847900); Tyrewala, D. (56968114300); Tamilarasan, A. (56968223800); McQuillen, J. (55878987000); Leão, J.B. (12645208400); Hussey, D.S. (8394208400); Jacobson, D.L. (7201872661); Scherschligt, J. (6506978778); Hermanson, J.C. (7006136255); Choi, C.K. (7402961155); Allen, J.S. (13006480100)","56968004400; 24332561700; 56968001800; 56009847900; 56968114300; 56968223800; 55878987000; 12645208400; 8394208400; 7201872661; 6506978778; 7006136255; 7402961155; 13006480100","A new experiment for investigating evaporation and condensation of cryogenic propellants","2016","Cryogenics","74","","","131","137","6","20","10.1016/j.cryogenics.2015.10.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958914191&doi=10.1016%2fj.cryogenics.2015.10.016&partnerID=40&md5=8f384e726c83aa363025b33b79bead27","Condensation; Contact angle; Evaporation; Liquid hydrogen; Neutron imaging","Aluminum; Capillary flow; Condensation; Contact angle; Cryogenic liquids; Cylinders (containers); Evaporation; Hydrogen; Liquefied gases; Liquids; Propellants; Space research; Stainless steel; Surface morphology; Thermography (temperature measurement); Uncertainty analysis; Accommodation coefficients; Evaporation and condensation; Liquid hydrogens; National Institute of Standards and Technology; Neutron imaging; Space exploration mission; Thermal boundary conditions; Transient thermal response; Cryogenics","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84958914191"
"Tanaka Y.; Baba M.; Otsuki M.; Fujita K.; Himeno T.; Maeda T.; Takahashi M.","Tanaka, Yuji (58082000800); Baba, Mitsuhisa (57203372803); Otsuki, Masatsugu (7202018055); Fujita, Kazuhisa (58081650900); Himeno, Takehiro (7003894372); Maeda, Takao (55853714400); Takahashi, Masaki (7406846479)","58082000800; 57203372803; 7202018055; 58081650900; 7003894372; 55853714400; 7406846479","Space Lander Descent Control System Design Considering Fuel Sloshing Under Microgravity","2022","Proceedings of the IEEE Conference on Decision and Control","2022-December","","","3092","3097","5","0","10.1109/CDC51059.2022.9992643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147041665&doi=10.1109%2fCDC51059.2022.9992643&partnerID=40&md5=a8c7a1fd3a37db0ba080be68afe7948f","","Control systems; Landing; Microgravity processing; Control system designs; Fuel dynamics; Fuel-optimal trajectories; Large amounts; Physical simulator; Simultaneous stabilization; Sloshing dynamics; State Estimators; Tracking controller; Microgravity","Conference paper","Final","","Scopus","2-s2.0-85147041665"
"McCraney J.; Weislogel M.; Steen P.","McCraney, Joshua (57204833255); Weislogel, Mark (6603818311); Steen, Paul (7102284765)","57204833255; 6603818311; 7102284765","Openfoam simulations of late stage container draining in microgravity","2020","Fluids","5","4","207","","","","16","10.3390/fluids5040207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099179251&doi=10.3390%2ffluids5040207&partnerID=40&md5=99eef381943434569d858d9859637690","Capillary flow; Capillary fluidics; CFD; Contact angle; Container draining; Interior corner; Tankage","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85099179251"
"Peromingo C.; Gligor D.; Salgado Sánchez P.; Bello A.; Olfe K.","Peromingo, C. (58665113800); Gligor, D. (57218162945); Salgado Sánchez, P. (57191379742); Bello, A. (57205549723); Olfe, K. (57211156942)","58665113800; 57218162945; 57191379742; 57205549723; 57211156942","Sloshing reduction in microgravity: Thermocapillary-based control and passive baffles","2023","Physics of Fluids","35","10","102114","","","","7","10.1063/5.0170304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174915248&doi=10.1063%2f5.0170304&partnerID=40&md5=f221561e2dabd540e4cc1de1aa8189ff","","Containers; Controllers; Cost reduction; Economic and social effects; Liquid sloshing; Microgravity processing; Space stations; % reductions; Active control; Classical controllers; Decay time; Fluid systems; Lateral walls; Output signal; Rectangular containers; Sloshing motion; Thermocapillary; Microgravity","Article","Final","","Scopus","2-s2.0-85174915248"
"Romero-Calvo Á.; Herrada M.A.; Cano-Gómez G.; Schaub H.","Romero-Calvo, Á. (57214793502); Herrada, M.A. (6603410143); Cano-Gómez, G. (57214794283); Schaub, H. (57203055695)","57214793502; 6603410143; 57214794283; 57203055695","Fully coupled interface-tracking model for axisymmetric ferrohydrodynamic flows","2022","Applied Mathematical Modelling","111","","","836","861","25","3","10.1016/j.apm.2022.06.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136061058&doi=10.1016%2fj.apm.2022.06.046&partnerID=40&md5=207d28929ffc85be62d8ebfa092d84a9","Ferrohydrodynamics; Microgravity; Multiphase flows; Sloshing; Space technology","Equations of state; Liquid sloshing; Magnetic fields; Maxwell equations; Microgravity processing; Multiphase flow; Axisymmetric; Ferrohydrodynamics; Fully-coupled; Interface tracking; Linear Stability; Liquid interface; Magnetic liquids; Modal response; Space technologies; Tracking models; Microgravity","Article","Final","","Scopus","2-s2.0-85136061058"
"Crosby K.; Hurlbert E.A.; Werlink R.J.","Crosby, Kevin (56676930200); Hurlbert, Eric A. (6506403461); Werlink, Rudolph J. (16647527500)","56676930200; 6506403461; 16647527500","Liquid mass gauging during propellant transfer in microgravity","2024","Acta Astronautica","220","","","283","296","13","0","10.1016/j.actaastro.2024.04.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192078522&doi=10.1016%2fj.actaastro.2024.04.015&partnerID=40&md5=76b30d526979379ea274affd6ec89bbb","Modal analysis; Modal propellant gauging; Propellant mass gauging; Suborbital flight experiment","Liquid propellants; Liquid sloshing; Microgravity; Microgravity processing; NASA; Orbits; Rockets; Space flight; Tanks (containers); Fill level; Flight experiments; Low gravity; Modal propellant gauging; Mode frequencies; Propellant mass; Propellant mass gauging; Roadmap; Suborbital flight; Suborbital flight experiment; Modal analysis","Article","Final","","Scopus","2-s2.0-85192078522"
"Hunt A.; Foster-Turner R.; Drury R.","Hunt, Andrew (12766698400); Foster-Turner, Richard (57204503725); Drury, Ross (57204505525)","12766698400; 57204503725; 57204505525","Propellant slosh force and mass measurement","2018","International Journal of Aerospace Engineering","2018","","3026872","","","","11","10.1155/2018/3026872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055854590&doi=10.1155%2f2018%2f3026872&partnerID=40&md5=f682cdb0c1ae5289100248299f50982c","","Electric impedance tomography; Gravitation; Inertial navigation systems; Propellants; Tanks (containers); Centre of mass; Electrical Capacitance Tomography; Intrinsically safe; Liquid measurements; Mass measurements; Numerical accuracy; Propellant mass; Propellant tank; Spacecraft propulsion","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85055854590"
"Storey J.M.; Kirk D.; Marsell B.; Schallhorn P.","Storey, Jedediah M. (56940068400); Kirk, Daniel (35786264300); Marsell, Brandon (36548813900); Schallhorn, Paul (6506695205)","56940068400; 35786264300; 36548813900; 6506695205","Progress towards a microgravity cfd validation study using the iss spheres-slosh experiment","2020","AIAA Propulsion and Energy 2020 Forum","","","","1","10","9","3","10.2514/6.2020-3814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091314047&doi=10.2514%2f6.2020-3814&partnerID=40&md5=58c31f6f3d8544396b6578c71be125d0","","Propulsion; Space flight; Spheres; Cfd validations; Computational fluid dynamics simulations; Current status; Earth gravity; Improving performance; Long duration; Space missions; Zero gravity; Computational fluid dynamics","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85091314047"
"Sah R.; Srivastava R.; Lima R.; Vatsal V.; Das K.","Sah, Roshan (57226399749); Srivastava, Raunak (57210914002); Lima, Rolif (57197716170); Vatsal, Vighnesh (57201558668); Das, Kaushik (58771762400)","57226399749; 57210914002; 57197716170; 57201558668; 58771762400","Numerical Modeling of Liquid Propellant Mass Transfer with Sloshing during On-Orbit Refueling","2024","IEEE Aerospace Conference Proceedings","","","","","","","0","10.1109/AERO58975.2024.10521091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193863076&doi=10.1109%2fAERO58975.2024.10521091&partnerID=40&md5=29a5839aa9093e6b4a89c59e8fb5f74e","","Acceleration; Attitude control; Communication satellites; Computational fluid dynamics; Flight simulators; Liquid propellants; Liquid sloshing; Mass transfer; Microgravity; Nitrogen compounds; Numerical models; Space applications; Space flight; Spacecraft propulsion; Tanks (containers); Lifespans; Mass centers; Non-cooperative; Nonlinear dynamic models; On orbit; On-orbit refueling; Propellant mass; Propellant tank; Radial direction; Time varying; Orbits","Conference paper","Final","","Scopus","2-s2.0-85193863076"
"Fiorini D.; Carbonnelle L.; Simonini A.; Steelant J.; Seveno D.; Mendez M.A.","Fiorini, Domenico (57542693000); Carbonnelle, Louis (58623827000); Simonini, Alessia (55783255200); Steelant, Johan (6603858899); Seveno, David (6507881005); Mendez, Miguel Alfonso (57189713539)","57542693000; 58623827000; 55783255200; 6603858899; 6507881005; 57189713539","CHARACTERIZATION OF A CAPILLARY-DRIVEN FLOW IN MICROGRAVITY BY MEANS OF OPTICAL TECHNIQUE","2023","Multiphase Science and Technology","35","3","","55","66","11","0","10.1615/MultScienTechn.2023047919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172739301&doi=10.1615%2fMultScienTechn.2023047919&partnerID=40&md5=da29be198da0ab606d7c8f4714095db1","dynamic wetting in microgravity; interface dynamics in capillary tubes; time-resolved particle image velocimetry","Contact angle; Flow visualization; Microgravity processing; Phase interfaces; Surface tension; Velocimeters; Velocity measurement; Wetting; Capillary force; Capillary-driven flows; Dynamic wetting; Dynamic wetting in microgravity; Gas/liquid interface; Image velocimetry; Interface dynamic; Interface dynamic in capillary tube; Optical technique; Time-Resolved Particle Image Velocimetry; Microgravity","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85172739301"
"Romero-Calvo Á.; Maggi F.; Schaub H.","Romero-Calvo, Á. (57214793502); Maggi, F. (24071633500); Schaub, H. (57203055695)","57214793502; 24071633500; 57203055695","Magnetic Positive Positioning: Toward the application in space propulsion","2021","Acta Astronautica","187","","","348","361","13","24","10.1016/j.actaastro.2021.06.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109160536&doi=10.1016%2fj.actaastro.2021.06.045&partnerID=40&md5=30141e720dc33fd4fafc2a0c5dae1bbf","Ferrofluids; Low-gravity; Magnetic liquid sloshing; Magnetic Positive Positioning; Space technology","Gravitation; Interplanetary flight; Interplanetary spacecraft; Liquefied gases; Liquid sloshing; Magnetic fluids; Petroleum prospecting; Propellants; Spacecraft propulsion; Centers-of-mass; Fluid systems; Gas bubble; In-space propulsion; Low gravity; Magnetic liquid sloshing; Magnetic positive positioning; Magnetic-field; Space technologies; Technical challenges; Magnetism","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85109160536"
"Oikonomidou O.; Evgenidis S.; Argyropoulos C.; Zabulis X.; Karamaoynas P.; Raza M.Q.; Sebilleau J.; Ronshin F.; Chinaud M.; Garivalis A.I.; Kostoglou M.; Sielaff A.; Schinnerl M.; Stephan P.; Colin C.; Tadrist L.; Kabov O.; Di Marco P.; Karapantsios T.","Oikonomidou, O. (55605074700); Evgenidis, S. (26658124300); Argyropoulos, C. (57224082916); Zabulis, X. (22952585700); Karamaoynas, P. (57195283851); Raza, M.Q. (57045497900); Sebilleau, J. (26039417900); Ronshin, F. (57196472040); Chinaud, M. (55516616200); Garivalis, A.I. (57212411908); Kostoglou, M. (55163355200); Sielaff, A. (43561844300); Schinnerl, M. (57409171700); Stephan, P. (7005147993); Colin, C. (57197938153); Tadrist, L. (57193899277); Kabov, O. (7003562219); Di Marco, P. (7005034798); Karapantsios, T. (35578866100)","55605074700; 26658124300; 57224082916; 22952585700; 57195283851; 57045497900; 26039417900; 57196472040; 55516616200; 57212411908; 55163355200; 43561844300; 57409171700; 7005147993; 57197938153; 57193899277; 7003562219; 7005034798; 35578866100","Bubble growth analysis during subcooled boiling experiments on-board the international space station: Benchmark image analysis","2022","Advances in Colloid and Interface Science","308","","102751","","","","17","10.1016/j.cis.2022.102751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136586844&doi=10.1016%2fj.cis.2022.102751&partnerID=40&md5=1c54f2c57fe49820f7d14c650291edc0","Boiling; Bubble growth; Contact angle; Edge detection; Image processing; Microgravity","Contact angle; Efficiency; Electric fields; Heat flux; Image analysis; Microgravity processing; Nucleation; Shear flow; Space stations; Statistical tests; Temperature control; Bubble growth; Geometrical features; Growth analysis; Image data; Image processing algorithm; Image-analysis; Images processing; International Space stations; Sub-cooled boiling; Temperature profiles; Microgravity","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136586844"
"Liu Q.; Xu G.; Zhu Z.; Liu W.; Zhao D.; Xie J.; Lin H.","Liu, Qiusheng (7406295633); Xu, Guofeng (57212644522); Zhu, Zhiqiang (56427224000); Liu, Wenjun (58029178400); Zhao, Dongdong (57203800721); Xie, Jingchang (7402994851); Lin, Hai (57202842723)","7406295633; 57212644522; 56427224000; 58029178400; 57203800721; 7402994851; 57202842723","Experimental investigation of drop evaporation in microgravity onboard Chinese Satellite SJ10","2019","Proceedings of the International Astronautical Congress, IAC","2019-October","","IAC-19_A2_3_2_x49156","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079165136&partnerID=40&md5=ab72eb4d115d25cc668b227792f21df8","Droplet evaporation; Marangoni effect; Microgravity; Phase change; Recoverable satellite; Space experiment","Contact angle; Copper; Drops; Evaporation; Heat flux; Heating; Liquids; Microgravity; Microgravity processing; Orbits; Satellites; Droplet evaporation; Electronic control modules; Experimental facilities; Experimental investigations; Marangoni effects; Phase Change; Sessile drop evaporation; Space experiments; Substrates","Conference paper","Final","","Scopus","2-s2.0-85079165136"
"Oluwafemi F.A.; Jain U.; Factor D.; Acuff K.; Ramdoss K.R.; Rico L.; Lai J.C.-Y.; Sadat M.N.; Mayor I.","Oluwafemi, Funmilola A. (57193774302); Jain, Umang (58327719600); Factor, Daniella (58943637300); Acuff, Kristi (57222003659); Ramdoss, Karthika R. (58531578500); Rico, Lina (58943004900); Lai, James C.-Y. (57202708889); Sadat, Muhammad N. (58943759500); Mayor, Ivy (57220591349)","57193774302; 58327719600; 58943637300; 57222003659; 58531578500; 58943004900; 57202708889; 58943759500; 57220591349","The Benefits of Gravity Fields Variation on Fluids and Materials: The Review","2023","Proceedings of the International Astronautical Congress, IAC","2023-October","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187973890&partnerID=40&md5=7d894c81514ee910bc7ca16395ef4f05","Fluids; Gravity fields variation; Materials; Terrestrial microgravity","Earth (planet); Liquid sloshing; Microgravity processing; Orbits; Celestial bodies; Centrifugal Forces; Centrifuge facilities; Gravitational pull; Gravity field; Gravity field variation; Hypergravity; Orbitals; Simulated microgravity; Terrestrial microgravity; Microgravity","Conference paper","Final","","Scopus","2-s2.0-85187973890"
"Thiel C.S.; Tauber S.; Hauschild S.; Lauber B.A.; Polzer J.; Paulsen K.; Layer L.E.; Ullrich O.","Thiel, Cora S. (16154396300); Tauber, Svantje (16029580600); Hauschild, Swantje (57203881369); Lauber, Beatrice A. (55883012400); Polzer, Jennifer (57193873229); Paulsen, Katrin (36127913400); Layer, Liliana E. (6505691996); Ullrich, Oliver (7004054910)","16154396300; 16029580600; 57203881369; 55883012400; 57193873229; 36127913400; 6505691996; 7004054910","Adaptation to microgravity in cells of the immune system","2017","Proceedings of the International Astronautical Congress, IAC","4","","","2174","2181","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051522244&partnerID=40&md5=4a851e1a3082351c12ac0d6e642012ed","Adaptation; Cytoskeleton; Gene expression; Immune cell function; Immune system; Microgravity","Cell culture; Codes (symbols); Immune system; Liquid sloshing; Macrophages; Mammals; Metabolites; Microgravity; Microgravity processing; Nucleic acids; Proteins; Rockets; Space flight; Space stations; Adaptation; Cytoskeletal stability; Cytoskeletons; Gravitational environments; Immune cells; International Space stations; Low gravity environment; Non-protein-coding gene; Gene expression","Conference paper","Final","","Scopus","2-s2.0-85051522244"
"Liu Y.-M.; Wu Z.-Q.; Yin D.-C.","Liu, Yong-Ming (37047494000); Wu, Zi-Qing (55321394700); Yin, Da-Chuan (56261421400)","37047494000; 55321394700; 56261421400","Measurement of contact angle under different gravity generated by a long-arm centrifuge","2020","Colloids and Surfaces A: Physicochemical and Engineering Aspects","588","","124381","","","","7","10.1016/j.colsurfa.2019.124381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076848797&doi=10.1016%2fj.colsurfa.2019.124381&partnerID=40&md5=dc3b3be82a6957f97dda093852dfa814","Contact angle; Gravitational field; Long-arm centrifuge; Wetting","Centrifuges; Drops; Interface states; Phase interfaces; Space research; Surface measurement; Wetting; Advancing and receding contact angles; Apparent contact angle; Capillary phenomena; Dynamic contact angle; Gravitational fields; Liquid-vapor interface; Measured parameters; Space explorations; acceleration; adhesion; Article; capillary; contact angle; Coriolis phenomenon; gravity; priority journal; solid; space; surface property; vapor; wettability; Contact angle","Article","Final","","Scopus","2-s2.0-85076848797"
"Chen L.; Liu J.T.","Chen, L. (57203356162); Liu, J.T. (36773331400)","57203356162; 36773331400","Numerical simulation of fluid flow in the vane type tank on orbital refuelling process","2018","IOP Conference Series: Earth and Environmental Science","163","1","012085","","","","4","10.1088/1755-1315/163/1/012085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051405071&doi=10.1088%2f1755-1315%2f163%2f1%2f012085&partnerID=40&md5=c8726c0139dc1a1af6bb84fa010f727e","","Hydraulic machinery; Liquid sloshing; Microgravity; Microgravity processing; Numerical models; Propellants; Spacecraft propulsion; Tanks (containers); Two phase flow; Economic efficiency; Experiment verification; Flow charac-teristics; Microgravity environments; On-orbit refueling; Propellant management; Space environment; Two phase flow model; Orbits","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85051405071"
"Ahadi A.; Saghir M.Z.","Ahadi, Amirhossein (55580009200); Saghir, M. Ziad (7004388534)","55580009200; 7004388534","The microgravity DSC-DCMIX1 mission onboard ISS: Experiment description and results on the measurement of the Soret coefficients for isobutylbenzene, dodecane, tetralin ternary hydrocarbons mixtures","2016","Experimental Thermal and Fluid Science","74","","","296","307","11","15","10.1016/j.expthermflusci.2015.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955250875&doi=10.1016%2fj.expthermflusci.2015.12.020&partnerID=40&md5=508f09556ff8d02ea7f5931b50edd2e7","Heat and mass transfer; Hydrocarbon reservoirs; Mach-Zehnder interferometry; Non-associating ternary mixture; Space experiment; Thermodiffusion; Windowed Fourier image processing","Aluminum; Benzene; Binary mixtures; Hydrocarbon refining; Hydrocarbons; Image processing; Liquid sloshing; Mass transfer; Space stations; Thermal diffusion in liquids; Fourier images; Heat and mass transfer; Hydrocarbon reservoir; Mach Zehnder interferometry; Space experiments; Ternary mixtures; Thermodiffusion; Mixtures","Article","Final","","Scopus","2-s2.0-84955250875"
"Li J.-C.; Lin H.; Li K.; Zhao J.-F.; Hu W.-R.","Li, Ji-Cheng (57203736618); Lin, Hai (57202842723); Li, Kai (57001326400); Zhao, Jian-Fu (55729937900); Hu, Wen-Rui (57209611631)","57203736618; 57202842723; 57001326400; 55729937900; 57209611631","Dynamic Behavior in a Storage Tank in Reduced Gravity Using Dynamic Contact Angle Method","2020","Microgravity Science and Technology","32","6","","1039","1048","9","12","10.1007/s12217-020-09831-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091608764&doi=10.1007%2fs12217-020-09831-x&partnerID=40&md5=410455cd7444429f19e29162b25ddfc6","Dynamic behavior; Dynamic contact angle; Liquid sloshing; Microgravity; Oscillation frequency; Storage tank","Crystallography; Rolling resistance; Tanks (containers); Damping oscillation; Dynamic contact angle; Dynamic deflections; Moving contact lines; Oscillation amplitude; Oscillation frequency; Temporal evolution; Volume of fluid method; Contact angle","Article","Final","","Scopus","2-s2.0-85091608764"
"Antony S.J.; Arowosola B.; Richter L.; Amanbayev T.; Barakat T.","Antony, S.J. (56251752200); Arowosola, B. (57195128558); Richter, L. (7103296287); Amanbayev, T. (55099500700); Barakat, T. (7003458521)","56251752200; 57195128558; 7103296287; 55099500700; 7003458521","Modelling the Flow Behaviour of Granular Media through the Dosing Station of a Spacecraft under Low Gravitational Environments","2016","Earth and Space 2016: Engineering for Extreme Environments - Proceedings of the 15th Biennial International Conference on Engineering, Science, Construction, and Operations in Challenging Environments","","","","154","162","8","1","10.1061/9780784479971.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025614295&doi=10.1061%2f9780784479971.017&partnerID=40&md5=e9bb60eb34b1f63245df196683591820","","Continuum mechanics; Flight simulators; Granular materials; Liquid sloshing; Space flight; Spacecraft; Computational modelling; Continuum Modeling; Discrete Element Modelling (DEM); Electromechanical systems; European Space Agency; Flow charac-teristics; Gravitational environments; Micromechanical behaviour; Earth (planet)","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85025614295"
"Gasmen E.; Marchetta J.G.","Gasmen, Elijah (57428927500); Marchetta, Jeffrey G. (6603029286)","57428927500; 6603029286","Simulation of Bulk Evaporation and Condensation using the Energy of Fluid Method","2022","AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2022","","","AIAA 2022-1568","","","","0","10.2514/6.2022-1568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123598282&doi=10.2514%2f6.2022-1568&partnerID=40&md5=10e5f9520be29cc7d61a8745b069e863","","Computational fluid dynamics; Cryogenics; Liquid sloshing; Pressurization; Tanks (containers); Accurate prediction; Computational fluid dynamics modeling; Cryogenic propellant; Energy; Evaporation and condensation; Long duration space mission; Pressure increase; Propellant storage systems; Radiation heat; Self pressurization; Digital storage","Conference paper","Final","","Scopus","2-s2.0-85123598282"
"Guo H.; Liu X.; Zhao J.F.; Ye F.; Ma C.F.","Guo, Hang (55468646400); Liu, Xuan (35218182500); Zhao, Jian Fu (55729937900); Ye, Fang (7102566558); Ma, Chong Fang (7402924479)","55468646400; 35218182500; 55729937900; 7102566558; 7402924479","Effect of low gravity on water removal inside proton exchange membrane fuel cells (PEMFCs) with different flow channel configurations","2016","Energy","112","","","926","934","8","46","10.1016/j.energy.2016.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977627499&doi=10.1016%2fj.energy.2016.07.006&partnerID=40&md5=5a950c04aaeeff666b253af2aae96333","Flooding; Flow channel configuration; Microgravity; PEMFC; Water removal","Cell engineering; Channel flow; Floods; Flow fields; Fuel cells; Liquid sloshing; Microgravity; Microgravity processing; Oil well flooding; Proton exchange membrane fuel cells (PEMFC); Cathode flow fields; Channel orientations; Flow channels; Gas - liquid two-phase flows; Operating behavior; Operating condition; Proton exchange membrane fuel cell (PEMFCs); Water removal; channel flow; flooding; flow modeling; fuel cell; fundamental particle; gravity; membrane; oxygen; performance assessment; vertical movement; water exchange; Two phase flow","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84977627499"
"Wang Y.; Quan Q.; Yu H.; Bai D.; Li H.; Deng Z.","Wang, Yinchao (56119485300); Quan, Qiquan (16069056800); Yu, Hongying (56118871200); Bai, Deen (57191859949); Li, He (56040308300); Deng, Zongquan (55536964400)","56119485300; 16069056800; 56118871200; 57191859949; 56040308300; 55536964400","Rotary-percussive ultrasonic drill: An effective subsurface penetrating tool for minor planet exploration","2018","IEEE Access","6","","8404025","37796","37806","10","26","10.1109/ACCESS.2018.2853166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049477345&doi=10.1109%2fACCESS.2018.2853166&partnerID=40&md5=60e5f131122a44a601f45aa29ce751a5","drilling experiment; Planetary rock sampling; rotary-percussive drilling; single piezo-ceramics; ultrasonic drill","Asteroids; Ceramic materials; Drills; Interplanetary flight; Liquid sloshing; Modal analysis; Rocks; Space research; Vibrations (mechanical); Deep-space exploration; Longitudinal vibrations; Longitudinal-torsional vibrations; Low gravity environment; Percussive drilling; Piezo-ceramics; Resonance frequencies; Ultrasonic drill; Infill drilling","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85049477345"
"Duraisamy V.V.; Pastrana F.; Topolski C.; Andrijauskaite K.; Gangadharan S.N.; Llanos P.J.","Duraisamy, Vijay Vishal (57201325311); Pastrana, Francisco (57202028038); Topolski, Collin (57202027515); Andrijauskaite, Kristina (56515366600); Gangadharan, Sathya N. (7003289596); Llanos, Pedro J. (52164105300)","57201325311; 57202028038; 57202027515; 56515366600; 7003289596; 52164105300","Design, development and testing of a suborbital nanolab research experiment in microgravity","2017","AIAA SPACE and Astronautics Forum and Exposition, SPACE 2017","0","","","","","","0","10.2514/6.2017-5361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046874302&doi=10.2514%2f6.2017-5361&partnerID=40&md5=cfc48984d112bffd052392d52fe7d081","","ABS resins; Computational fluid dynamics; Computer aided analysis; Fiber reinforced plastics; Finite element method; Microgravity; Styrene; Vibration analysis; Acrylonitrile-butadiene-styrene; Design development; Development and testing; Low cost fabrication; Lower-cost design; Miniaturisation; Orbital space; Parametric study; Science experiments; Small containers; Computer aided design","Conference paper","Final","","Scopus","2-s2.0-85046874302"
"Romero-Calvo Á.; García-Salcedo A.J.; Garrone F.; Rivoalen I.; Cano-Gómez G.; Castro-Hernández E.; Herrada Gutiérrez M.Á.; Maggi F.","Romero-Calvo, Á. (57214793502); García-Salcedo, A.J. (57214806996); Garrone, F. (57214801456); Rivoalen, I. (57214800116); Cano-Gómez, G. (57214794283); Castro-Hernández, E. (33067589800); Herrada Gutiérrez, M.Á. (6603410143); Maggi, F. (24071633500)","57214793502; 57214806996; 57214801456; 57214800116; 57214794283; 33067589800; 6603410143; 24071633500","StELIUM: A student experiment to investigate the sloshing of magnetic liquids in microgravity","2020","Acta Astronautica","173","","","344","355","11","23","10.1016/j.actaastro.2020.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084423199&doi=10.1016%2fj.actaastro.2020.04.013&partnerID=40&md5=e8f8d80f1799fe8bb935489577589706","Experiment design; Ferrofluids; Magnetic liquid sloshing; Microgravity; ZARM'S drop tower","Attitude control; Magnetism; Microgravity; Microgravity processing; Spacecraft propulsion; Design and operations; Ferrofluid solutions; Inhomogeneous magnetic field; Low gravity environment; Magnetic liquids; Positioning devices; Space vehicles; Student experiments; Liquid sloshing","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084423199"
