Title,Year,Document Type
Milliliter-to-microliter platform for on-demand loading of aqueous and non-aqueous droplets to digital microfluidics,2011,Conference Proceeding
Thrust-vector control of a three-axis stabilized spacecraft with fuel slosh dynamics,2013,Conference Proceeding
Electrochemical Tilt Sensors With Symmetric Concentric Electrode Pairs,2021,Journal Article
On System Identification of Space Manipulator Systems Including Their Fuel Sloshing Effects,2023,Journal Article
Control of propellant slosh dynamics in observation spacecraft using Model Free Control and pressure sensors,2022,Conference Proceeding
CFD simulation of vane-type tank on-orbit refilling,2013,Conference Proceeding
The effects of constrained electric propulsion on gravity tractors for planetary defense,2017,Conference Proceeding
Low Sintering Temperature and Electrial Properties on Cu-doped (Bi1/2Na1/2)TiO3-based Solid Solution Ceramics,2019,Conference Proceeding
FEM-Simulation and Experimental Realization of Low-Cost Electrowetting Actuators for a Flexible Microfluidic Pixel,2017,Journal Article
Gravity effects in microgap flow boiling,2017,Conference Proceeding
Development of virtual reality bike with cylindrical MR fluid brake,2012,Conference Proceeding
Mass transport characteristics and theoretical performance limits of micropillar wicks,2014,Conference Proceeding
Disturbance Separation-Based Antidisturbance Attitude Control for Flexible Liquid-Filled Spacecrafts,2024,Conference Proceeding
Bending Deformation of Multiple Aligned Plates Toward Coalescence Induced by Capillarity,2019,Journal Article
A Cable-Driven and Rigid-Flexible Structures Coupled Landing Gear System for Spacecraft Soft Landing on Asteroids,2024,Conference Proceeding
Greek cross test structure for inkjet printed thin films,2013,Conference Proceeding
Development of air spindle and triaxial air bearing testbeds for spacecraft dynamics and control experiments,2001,Conference Proceeding
The development of an autonomous mobile overhead crane system for the liquid tank transfer,2009,Conference Proceeding
An ultra-thin vapor chamber with oriented spiral woven wick for microelectronic heat dissipation,2023,Conference Proceeding
 $\mathcal{H}_{\infty}$  and  $\mu$ -Synthesis for Nanosatellites Rendezvous and Docking,2020,Journal Article
Small lunar lander/hopper performance analysis,2010,Conference Proceeding
